Metric,Value,Description
ramulator.active_cycles_21_2,18743,Total active cycles for level _21_2
ramulator.active_cycles_21_2_0,8858,Total active cycles for level _21_2_0
ramulator.active_cycles_21_2_1,9885,Total active cycles for level _21_2_1
ramulator.active_cycles_21_3,18728,Total active cycles for level _21_3
ramulator.active_cycles_21_3_0,9596,Total active cycles for level _21_3_0
ramulator.active_cycles_21_3_1,9132,Total active cycles for level _21_3_1
ramulator.active_cycles_22,70892,Total active cycles for level _22
ramulator.active_cycles_22_0,16874,Total active cycles for level _22_0
ramulator.active_cycles_22_0_0,8683,Total active cycles for level _22_0_0
ramulator.active_cycles_22_0_1,8191,Total active cycles for level _22_0_1
ramulator.active_cycles_22_1,18447,Total active cycles for level _22_1
ramulator.active_cycles_22_1_0,8350,Total active cycles for level _22_1_0
ramulator.active_cycles_22_1_1,10097,Total active cycles for level _22_1_1
ramulator.active_cycles_22_2,17966,Total active cycles for level _22_2
ramulator.active_cycles_22_2_0,8579,Total active cycles for level _22_2_0
ramulator.active_cycles_22_2_1,9387,Total active cycles for level _22_2_1
ramulator.active_cycles_22_3,17650,Total active cycles for level _22_3
ramulator.active_cycles_22_3_0,9069,Total active cycles for level _22_3_0
ramulator.active_cycles_22_3_1,8581,Total active cycles for level _22_3_1
ramulator.active_cycles_23,70875,Total active cycles for level _23
ramulator.active_cycles_23_0,16818,Total active cycles for level _23_0
ramulator.active_cycles_23_0_0,8431,Total active cycles for level _23_0_0
ramulator.active_cycles_23_0_1,8387,Total active cycles for level _23_0_1
ramulator.active_cycles_23_1,17660,Total active cycles for level _23_1
ramulator.active_cycles_23_1_0,8258,Total active cycles for level _23_1_0
ramulator.active_cycles_23_1_1,9402,Total active cycles for level _23_1_1
ramulator.active_cycles_23_2,18483,Total active cycles for level _23_2
ramulator.active_cycles_23_2_0,9192,Total active cycles for level _23_2_0
ramulator.active_cycles_23_2_1,9291,Total active cycles for level _23_2_1
ramulator.active_cycles_23_3,17914,Total active cycles for level _23_3
ramulator.active_cycles_23_3_0,9561,Total active cycles for level _23_3_0
ramulator.active_cycles_23_3_1,8353,Total active cycles for level _23_3_1
ramulator.active_cycles_24,71679,Total active cycles for level _24
ramulator.active_cycles_24_0,17098,Total active cycles for level _24_0
ramulator.active_cycles_24_0_0,8642,Total active cycles for level _24_0_0
ramulator.active_cycles_24_0_1,8523,Total active cycles for level _24_0_1
ramulator.active_cycles_24_1,18040,Total active cycles for level _24_1
ramulator.active_cycles_24_1_0,8397,Total active cycles for level _24_1_0
ramulator.active_cycles_24_1_1,9643,Total active cycles for level _24_1_1
ramulator.active_cycles_24_2,18954,Total active cycles for level _24_2
ramulator.active_cycles_24_2_0,9794,Total active cycles for level _24_2_0
ramulator.active_cycles_24_2_1,9160,Total active cycles for level _24_2_1
ramulator.active_cycles_24_3,17587,Total active cycles for level _24_3
ramulator.active_cycles_24_3_0,9274,Total active cycles for level _24_3_0
ramulator.active_cycles_24_3_1,8313,Total active cycles for level _24_3_1
ramulator.active_cycles_25,72775,Total active cycles for level _25
ramulator.active_cycles_25_0,17175,Total active cycles for level _25_0
ramulator.active_cycles_25_0_0,9016,Total active cycles for level _25_0_0
ramulator.active_cycles_25_0_1,8159,Total active cycles for level _25_0_1
ramulator.active_cycles_25_1,18784,Total active cycles for level _25_1
ramulator.active_cycles_25_1_0,9061,Total active cycles for level _25_1_0
ramulator.active_cycles_25_1_1,9723,Total active cycles for level _25_1_1
ramulator.active_cycles_25_2,19461,Total active cycles for level _25_2
ramulator.active_cycles_25_2_0,9146,Total active cycles for level _25_2_0
ramulator.active_cycles_25_2_1,10315,Total active cycles for level _25_2_1
ramulator.active_cycles_25_3,17468,Total active cycles for level _25_3
ramulator.active_cycles_25_3_0,9095,Total active cycles for level _25_3_0
ramulator.active_cycles_25_3_1,8373,Total active cycles for level _25_3_1
ramulator.active_cycles_26,71194,Total active cycles for level _26
ramulator.active_cycles_26_0,16684,Total active cycles for level _26_0
ramulator.active_cycles_26_0_0,8238,Total active cycles for level _26_0_0
ramulator.active_cycles_26_0_1,8446,Total active cycles for level _26_0_1
ramulator.active_cycles_26_1,17863,Total active cycles for level _26_1
ramulator.active_cycles_26_1_0,8649,Total active cycles for level _26_1_0
ramulator.active_cycles_26_1_1,9283,Total active cycles for level _26_1_1
ramulator.active_cycles_26_2,18263,Total active cycles for level _26_2
ramulator.active_cycles_26_2_0,8891,Total active cycles for level _26_2_0
ramulator.active_cycles_26_2_1,9372,Total active cycles for level _26_2_1
ramulator.active_cycles_26_3,18384,Total active cycles for level _26_3
ramulator.active_cycles_26_3_0,9522,Total active cycles for level _26_3_0
ramulator.active_cycles_26_3_1,8862,Total active cycles for level _26_3_1
ramulator.active_cycles_27,70244,Total active cycles for level _27
ramulator.active_cycles_27_0,16090,Total active cycles for level _27_0
ramulator.active_cycles_27_0_0,8283,Total active cycles for level _27_0_0
ramulator.active_cycles_27_0_1,7807,Total active cycles for level _27_0_1
ramulator.active_cycles_27_1,17802,Total active cycles for level _27_1
ramulator.active_cycles_27_1_0,8555,Total active cycles for level _27_1_0
ramulator.active_cycles_27_1_1,9247,Total active cycles for level _27_1_1
ramulator.active_cycles_27_2,18837,Total active cycles for level _27_2
ramulator.active_cycles_27_2_0,9096,Total active cycles for level _27_2_0
ramulator.active_cycles_27_2_1,9741,Total active cycles for level _27_2_1
ramulator.active_cycles_27_3,17564,Total active cycles for level _27_3
ramulator.active_cycles_27_3_0,9382,Total active cycles for level _27_3_0
ramulator.active_cycles_27_3_1,8182,Total active cycles for level _27_3_1
ramulator.active_cycles_28,70448,Total active cycles for level _28
ramulator.active_cycles_28_0,16266,Total active cycles for level _28_0
ramulator.active_cycles_28_0_0,8315,Total active cycles for level _28_0_0
ramulator.active_cycles_28_0_1,7951,Total active cycles for level _28_0_1
ramulator.active_cycles_28_1,17624,Total active cycles for level _28_1
ramulator.active_cycles_28_1_0,8431,Total active cycles for level _28_1_0
ramulator.active_cycles_28_1_1,9193,Total active cycles for level _28_1_1
ramulator.active_cycles_28_2,18623,Total active cycles for level _28_2
ramulator.active_cycles_28_2_0,9357,Total active cycles for level _28_2_0
ramulator.active_cycles_28_2_1,9266,Total active cycles for level _28_2_1
ramulator.active_cycles_28_3,17935,Total active cycles for level _28_3
ramulator.active_cycles_28_3_0,9582,Total active cycles for level _28_3_0
ramulator.active_cycles_28_3_1,8353,Total active cycles for level _28_3_1
ramulator.active_cycles_29,69577,Total active cycles for level _29
ramulator.active_cycles_29_0,16014,Total active cycles for level _29_0
ramulator.active_cycles_29_0_0,8332,Total active cycles for level _29_0_0
ramulator.active_cycles_29_0_1,7682,Total active cycles for level _29_0_1
ramulator.active_cycles_29_1,17694,Total active cycles for level _29_1
