Metric,Value,Description
ramulator.active_cycles_19_3,6293755,Total active cycles for level _19_3
ramulator.active_cycles_19_3_0,2853061,Total active cycles for level _19_3_0
ramulator.active_cycles_19_3_1,3530863,Total active cycles for level _19_3_1
ramulator.active_cycles_1_0,31862002,Total active cycles for level _1_0
ramulator.active_cycles_1_0_0,21737097,Total active cycles for level _1_0_0
ramulator.active_cycles_1_0_1,10176784,Total active cycles for level _1_0_1
ramulator.active_cycles_1_1,8058730,Total active cycles for level _1_1
ramulator.active_cycles_1_1_0,3755887,Total active cycles for level _1_1_0
ramulator.active_cycles_1_1_1,4365514,Total active cycles for level _1_1_1
ramulator.active_cycles_1_2,15827488,Total active cycles for level _1_2
ramulator.active_cycles_1_2_0,1967041,Total active cycles for level _1_2_0
ramulator.active_cycles_1_2_1,13887459,Total active cycles for level _1_2_1
ramulator.active_cycles_1_3,9549474,Total active cycles for level _1_3
ramulator.active_cycles_1_3_0,3367963,Total active cycles for level _1_3_0
ramulator.active_cycles_1_3_1,6227260,Total active cycles for level _1_3_1
ramulator.active_cycles_2,42941636,Total active cycles for level _2
ramulator.active_cycles_20,29459060,Total active cycles for level _20
ramulator.active_cycles_20_0,9634147,Total active cycles for level _20_0
ramulator.active_cycles_20_0_0,6980409,Total active cycles for level _20_0_0
ramulator.active_cycles_20_0_1,2721305,Total active cycles for level _20_0_1
ramulator.active_cycles_20_1,8048904,Total active cycles for level _20_1
ramulator.active_cycles_20_1_0,3899555,Total active cycles for level _20_1_0
ramulator.active_cycles_20_1_1,4193937,Total active cycles for level _20_1_1
ramulator.active_cycles_20_2,6001358,Total active cycles for level _20_2
ramulator.active_cycles_20_2_0,2141643,Total active cycles for level _20_2_0
ramulator.active_cycles_20_2_1,3885705,Total active cycles for level _20_2_1
ramulator.active_cycles_20_3,7226717,Total active cycles for level _20_3
ramulator.active_cycles_20_3_0,3825069,Total active cycles for level _20_3_0
ramulator.active_cycles_20_3_1,3477726,Total active cycles for level _20_3_1
ramulator.active_cycles_21,22460214,Total active cycles for level _21
ramulator.active_cycles_21_0,7360841,Total active cycles for level _21_0
ramulator.active_cycles_21_0_0,3457944,Total active cycles for level _21_0_0
ramulator.active_cycles_21_0_1,3972982,Total active cycles for level _21_0_1
ramulator.active_cycles_21_1,4476331,Total active cycles for level _21_1
ramulator.active_cycles_21_1_0,2359329,Total active cycles for level _21_1_0
ramulator.active_cycles_21_1_1,2159535,Total active cycles for level _21_1_1
ramulator.active_cycles_21_2,5710957,Total active cycles for level _21_2
ramulator.active_cycles_21_2_0,2834497,Total active cycles for level _21_2_0
ramulator.active_cycles_21_2_1,2905420,Total active cycles for level _21_2_1
ramulator.active_cycles_21_3,6318222,Total active cycles for level _21_3
ramulator.active_cycles_21_3_0,3339945,Total active cycles for level _21_3_0
ramulator.active_cycles_21_3_1,3056072,Total active cycles for level _21_3_1
ramulator.active_cycles_22,20428326,Total active cycles for level _22
ramulator.active_cycles_22_0,6163993,Total active cycles for level _22_0
ramulator.active_cycles_22_0_0,3374794,Total active cycles for level _22_0_0
ramulator.active_cycles_22_0_1,2858193,Total active cycles for level _22_0_1
ramulator.active_cycles_22_1,4729037,Total active cycles for level _22_1
ramulator.active_cycles_22_1_0,2339943,Total active cycles for level _22_1_0
ramulator.active_cycles_22_1_1,2429776,Total active cycles for level _22_1_1
ramulator.active_cycles_22_2,4985241,Total active cycles for level _22_2
ramulator.active_cycles_22_2_0,2270830,Total active cycles for level _22_2_0
ramulator.active_cycles_22_2_1,2740839,Total active cycles for level _22_2_1
ramulator.active_cycles_22_3,5992539,Total active cycles for level _22_3
ramulator.active_cycles_22_3_0,3206355,Total active cycles for level _22_3_0
ramulator.active_cycles_22_3_1,2876021,Total active cycles for level _22_3_1
ramulator.active_cycles_23,17091601,Total active cycles for level _23
ramulator.active_cycles_23_0,5037048,Total active cycles for level _23_0
ramulator.active_cycles_23_0_0,2518934,Total active cycles for level _23_0_0
ramulator.active_cycles_23_0_1,2586429,Total active cycles for level _23_0_1
ramulator.active_cycles_23_1,4404748,Total active cycles for level _23_1
ramulator.active_cycles_23_1_0,2350952,Total active cycles for level _23_1_0
ramulator.active_cycles_23_1_1,2100245,Total active cycles for level _23_1_1
ramulator.active_cycles_23_2,4074167,Total active cycles for level _23_2
ramulator.active_cycles_23_2_0,2182921,Total active cycles for level _23_2_0
ramulator.active_cycles_23_2_1,1920686,Total active cycles for level _23_2_1
ramulator.active_cycles_23_3,4892047,Total active cycles for level _23_3
ramulator.active_cycles_23_3_0,2608741,Total active cycles for level _23_3_0
ramulator.active_cycles_23_3_1,2363021,Total active cycles for level _23_3_1
ramulator.active_cycles_24,16437797,Total active cycles for level _24
ramulator.active_cycles_24_0,4891581,Total active cycles for level _24_0
ramulator.active_cycles_24_0_0,2446319,Total active cycles for level _24_0_0
ramulator.active_cycles_24_0_1,2505933,Total active cycles for level _24_0_1
ramulator.active_cycles_24_1,4312742,Total active cycles for level _24_1
ramulator.active_cycles_24_1_0,2298111,Total active cycles for level _24_1_0
ramulator.active_cycles_24_1_1,2054245,Total active cycles for level _24_1_1
ramulator.active_cycles_24_2,3869238,Total active cycles for level _24_2
ramulator.active_cycles_24_2_0,2071142,Total active cycles for level _24_2_0
ramulator.active_cycles_24_2_1,1819499,Total active cycles for level _24_2_1
ramulator.active_cycles_24_3,4698378,Total active cycles for level _24_3
ramulator.active_cycles_24_3_0,2549386,Total active cycles for level _24_3_0
ramulator.active_cycles_24_3_1,2215488,Total active cycles for level _24_3_1
ramulator.active_cycles_25,23783096,Total active cycles for level _25
ramulator.active_cycles_25_0,6546127,Total active cycles for level _25_0
ramulator.active_cycles_25_0_0,3316840,Total active cycles for level _25_0_0
ramulator.active_cycles_25_0_1,3304298,Total active cycles for level _25_0_1
