Metric,Value,Description
ramulator.active_cycles_19_3_0,808295,Total active cycles for level _19_3_0
ramulator.active_cycles_19_3_1,797769,Total active cycles for level _19_3_1
ramulator.active_cycles_1_0,1609186,Total active cycles for level _1_0
ramulator.active_cycles_1_0_0,807777,Total active cycles for level _1_0_0
ramulator.active_cycles_1_0_1,803040,Total active cycles for level _1_0_1
ramulator.active_cycles_1_1,1611518,Total active cycles for level _1_1
ramulator.active_cycles_1_1_0,807709,Total active cycles for level _1_1_0
ramulator.active_cycles_1_1_1,806249,Total active cycles for level _1_1_1
ramulator.active_cycles_1_2,1607983,Total active cycles for level _1_2
ramulator.active_cycles_1_2_0,806746,Total active cycles for level _1_2_0
ramulator.active_cycles_1_2_1,803211,Total active cycles for level _1_2_1
ramulator.active_cycles_1_3,1597595,Total active cycles for level _1_3
ramulator.active_cycles_1_3_0,798786,Total active cycles for level _1_3_0
ramulator.active_cycles_1_3_1,801323,Total active cycles for level _1_3_1
ramulator.active_cycles_2,6330526,Total active cycles for level _2
ramulator.active_cycles_20,6338292,Total active cycles for level _20
ramulator.active_cycles_20_0,1607431,Total active cycles for level _20_0
ramulator.active_cycles_20_0_0,803145,Total active cycles for level _20_0_0
ramulator.active_cycles_20_0_1,805096,Total active cycles for level _20_0_1
ramulator.active_cycles_20_1,1603407,Total active cycles for level _20_1
ramulator.active_cycles_20_1_0,804056,Total active cycles for level _20_1_0
ramulator.active_cycles_20_1_1,800265,Total active cycles for level _20_1_1
ramulator.active_cycles_20_2,1590843,Total active cycles for level _20_2
ramulator.active_cycles_20_2_0,796728,Total active cycles for level _20_2_0
ramulator.active_cycles_20_2_1,795637,Total active cycles for level _20_2_1
ramulator.active_cycles_20_3,1604386,Total active cycles for level _20_3
ramulator.active_cycles_20_3_0,802892,Total active cycles for level _20_3_0
ramulator.active_cycles_20_3_1,803321,Total active cycles for level _20_3_1
ramulator.active_cycles_21,6338734,Total active cycles for level _21
ramulator.active_cycles_21_0,1613250,Total active cycles for level _21_0
ramulator.active_cycles_21_0_0,807891,Total active cycles for level _21_0_0
ramulator.active_cycles_21_0_1,806237,Total active cycles for level _21_0_1
ramulator.active_cycles_21_1,1605884,Total active cycles for level _21_1
ramulator.active_cycles_21_1_0,800934,Total active cycles for level _21_1_0
ramulator.active_cycles_21_1_1,805653,Total active cycles for level _21_1_1
ramulator.active_cycles_21_2,1604605,Total active cycles for level _21_2
ramulator.active_cycles_21_2_0,803661,Total active cycles for level _21_2_0
ramulator.active_cycles_21_2_1,802464,Total active cycles for level _21_2_1
ramulator.active_cycles_21_3,1601577,Total active cycles for level _21_3
ramulator.active_cycles_21_3_0,802331,Total active cycles for level _21_3_0
ramulator.active_cycles_21_3_1,801721,Total active cycles for level _21_3_1
ramulator.active_cycles_22,6333243,Total active cycles for level _22
ramulator.active_cycles_22_0,1607696,Total active cycles for level _22_0
ramulator.active_cycles_22_0_0,809601,Total active cycles for level _22_0_0
ramulator.active_cycles_22_0_1,799435,Total active cycles for level _22_0_1
ramulator.active_cycles_22_1,1606637,Total active cycles for level _22_1
ramulator.active_cycles_22_1_0,801790,Total active cycles for level _22_1_0
ramulator.active_cycles_22_1_1,805889,Total active cycles for level _22_1_1
ramulator.active_cycles_22_2,1591766,Total active cycles for level _22_2
ramulator.active_cycles_22_2_0,795924,Total active cycles for level _22_2_0
ramulator.active_cycles_22_2_1,797172,Total active cycles for level _22_2_1
ramulator.active_cycles_22_3,1597978,Total active cycles for level _22_3
ramulator.active_cycles_22_3_0,800184,Total active cycles for level _22_3_0
ramulator.active_cycles_22_3_1,800116,Total active cycles for level _22_3_1
ramulator.active_cycles_23,6340096,Total active cycles for level _23
ramulator.active_cycles_23_0,1611057,Total active cycles for level _23_0
ramulator.active_cycles_23_0_0,810031,Total active cycles for level _23_0_0
ramulator.active_cycles_23_0_1,802475,Total active cycles for level _23_0_1
ramulator.active_cycles_23_1,1612317,Total active cycles for level _23_1
ramulator.active_cycles_23_1_0,803893,Total active cycles for level _23_1_0
ramulator.active_cycles_23_1_1,809382,Total active cycles for level _23_1_1
ramulator.active_cycles_23_2,1593048,Total active cycles for level _23_2
ramulator.active_cycles_23_2_0,799950,Total active cycles for level _23_2_0
ramulator.active_cycles_23_2_1,794492,Total active cycles for level _23_2_1
ramulator.active_cycles_23_3,1593475,Total active cycles for level _23_3
ramulator.active_cycles_23_3_0,799735,Total active cycles for level _23_3_0
ramulator.active_cycles_23_3_1,795820,Total active cycles for level _23_3_1
ramulator.active_cycles_24,6329673,Total active cycles for level _24
ramulator.active_cycles_24_0,1607768,Total active cycles for level _24_0
ramulator.active_cycles_24_0_0,805445,Total active cycles for level _24_0_0
ramulator.active_cycles_24_0_1,803961,Total active cycles for level _24_0_1
ramulator.active_cycles_24_1,1603654,Total active cycles for level _24_1
ramulator.active_cycles_24_1_0,803084,Total active cycles for level _24_1_0
ramulator.active_cycles_24_1_1,800865,Total active cycles for level _24_1_1
ramulator.active_cycles_24_2,1599156,Total active cycles for level _24_2
ramulator.active_cycles_24_2_0,804378,Total active cycles for level _24_2_0
ramulator.active_cycles_24_2_1,796305,Total active cycles for level _24_2_1
ramulator.active_cycles_24_3,1592597,Total active cycles for level _24_3
ramulator.active_cycles_24_3_0,796950,Total active cycles for level _24_3_0
ramulator.active_cycles_24_3_1,797498,Total active cycles for level _24_3_1
ramulator.active_cycles_25,6321281,Total active cycles for level _25
ramulator.active_cycles_25_0,1608863,Total active cycles for level _25_0
ramulator.active_cycles_25_0_0,805831,Total active cycles for level _25_0_0
ramulator.active_cycles_25_0_1,804670,Total active cycles for level _25_0_1
ramulator.active_cycles_25_1,1604659,Total active cycles for level _25_1
ramulator.active_cycles_25_1_0,803671,Total active cycles for level _25_1_0
ramulator.active_cycles_25_1_1,801774,Total active cycles for level _25_1_1
ramulator.active_cycles_25_2,1595214,Total active cycles for level _25_2
ramulator.active_cycles_25_2_0,800412,Total active cycles for level _25_2_0
ramulator.active_cycles_25_2_1,796706,Total active cycles for level _25_2_1
