Metric,Value,Description
ramulator.active_cycles_1_1_0,1962081,Total active cycles for level _1_1_0
ramulator.active_cycles_1_1_1,1988296,Total active cycles for level _1_1_1
ramulator.active_cycles_1_2,3945308,Total active cycles for level _1_2
ramulator.active_cycles_1_2_0,1974576,Total active cycles for level _1_2_0
ramulator.active_cycles_1_2_1,1981991,Total active cycles for level _1_2_1
ramulator.active_cycles_1_3,3940920,Total active cycles for level _1_3
ramulator.active_cycles_1_3_0,1972239,Total active cycles for level _1_3_0
ramulator.active_cycles_1_3_1,1978584,Total active cycles for level _1_3_1
ramulator.active_cycles_2,15467280,Total active cycles for level _2
ramulator.active_cycles_20,15669102,Total active cycles for level _20
ramulator.active_cycles_20_0,3976624,Total active cycles for level _20_0
ramulator.active_cycles_20_0_0,1995771,Total active cycles for level _20_0_0
ramulator.active_cycles_20_0_1,1991405,Total active cycles for level _20_0_1
ramulator.active_cycles_20_1,4009842,Total active cycles for level _20_1
ramulator.active_cycles_20_1_0,2019704,Total active cycles for level _20_1_0
ramulator.active_cycles_20_1_1,2001225,Total active cycles for level _20_1_1
ramulator.active_cycles_20_2,4006409,Total active cycles for level _20_2
ramulator.active_cycles_20_2_0,2002897,Total active cycles for level _20_2_0
ramulator.active_cycles_20_2_1,2014673,Total active cycles for level _20_2_1
ramulator.active_cycles_20_3,3977892,Total active cycles for level _20_3
ramulator.active_cycles_20_3_0,2013438,Total active cycles for level _20_3_0
ramulator.active_cycles_20_3_1,1973951,Total active cycles for level _20_3_1
ramulator.active_cycles_21,15865235,Total active cycles for level _21
ramulator.active_cycles_21_0,4029972,Total active cycles for level _21_0
ramulator.active_cycles_21_0_0,2014264,Total active cycles for level _21_0_0
ramulator.active_cycles_21_0_1,2027068,Total active cycles for level _21_0_1
ramulator.active_cycles_21_1,4063409,Total active cycles for level _21_1
ramulator.active_cycles_21_1_0,2029082,Total active cycles for level _21_1_0
ramulator.active_cycles_21_1_1,2044944,Total active cycles for level _21_1_1
ramulator.active_cycles_21_2,4050010,Total active cycles for level _21_2
ramulator.active_cycles_21_2_0,2034121,Total active cycles for level _21_2_0
ramulator.active_cycles_21_2_1,2025864,Total active cycles for level _21_2_1
ramulator.active_cycles_21_3,4034046,Total active cycles for level _21_3
ramulator.active_cycles_21_3_0,2031452,Total active cycles for level _21_3_0
ramulator.active_cycles_21_3_1,2011881,Total active cycles for level _21_3_1
ramulator.active_cycles_22,15950788,Total active cycles for level _22
ramulator.active_cycles_22_0,4056705,Total active cycles for level _22_0
ramulator.active_cycles_22_0_0,2037820,Total active cycles for level _22_0_0
ramulator.active_cycles_22_0_1,2031031,Total active cycles for level _22_0_1
ramulator.active_cycles_22_1,4089236,Total active cycles for level _22_1
ramulator.active_cycles_22_1_0,2057684,Total active cycles for level _22_1_0
ramulator.active_cycles_22_1_1,2045467,Total active cycles for level _22_1_1
ramulator.active_cycles_22_2,4076518,Total active cycles for level _22_2
ramulator.active_cycles_22_2_0,2035258,Total active cycles for level _22_2_0
ramulator.active_cycles_22_2_1,2053776,Total active cycles for level _22_2_1
ramulator.active_cycles_22_3,4058443,Total active cycles for level _22_3
ramulator.active_cycles_22_3_0,2044598,Total active cycles for level _22_3_0
ramulator.active_cycles_22_3_1,2024546,Total active cycles for level _22_3_1
ramulator.active_cycles_23,16068733,Total active cycles for level _23
ramulator.active_cycles_23_0,4079914,Total active cycles for level _23_0
ramulator.active_cycles_23_0_0,2042323,Total active cycles for level _23_0_0
ramulator.active_cycles_23_0_1,2048249,Total active cycles for level _23_0_1
ramulator.active_cycles_23_1,4106067,Total active cycles for level _23_1
ramulator.active_cycles_23_1_0,2060226,Total active cycles for level _23_1_0
ramulator.active_cycles_23_1_1,2056837,Total active cycles for level _23_1_1
ramulator.active_cycles_23_2,4111015,Total active cycles for level _23_2
ramulator.active_cycles_23_2_0,2057298,Total active cycles for level _23_2_0
ramulator.active_cycles_23_2_1,2065863,Total active cycles for level _23_2_1
ramulator.active_cycles_23_3,4088495,Total active cycles for level _23_3
ramulator.active_cycles_23_3_0,2062186,Total active cycles for level _23_3_0
ramulator.active_cycles_23_3_1,2035432,Total active cycles for level _23_3_1
ramulator.active_cycles_24,16064679,Total active cycles for level _24
ramulator.active_cycles_24_0,4077040,Total active cycles for level _24_0
ramulator.active_cycles_24_0_0,2045260,Total active cycles for level _24_0_0
ramulator.active_cycles_24_0_1,2043362,Total active cycles for level _24_0_1
ramulator.active_cycles_24_1,4117748,Total active cycles for level _24_1
ramulator.active_cycles_24_1_0,2074045,Total active cycles for level _24_1_0
ramulator.active_cycles_24_1_1,2056092,Total active cycles for level _24_1_1
ramulator.active_cycles_24_2,4111391,Total active cycles for level _24_2
ramulator.active_cycles_24_2_0,2049400,Total active cycles for level _24_2_0
ramulator.active_cycles_24_2_1,2073925,Total active cycles for level _24_2_1
ramulator.active_cycles_24_3,4077918,Total active cycles for level _24_3
ramulator.active_cycles_24_3_0,2060935,Total active cycles for level _24_3_0
ramulator.active_cycles_24_3_1,2027762,Total active cycles for level _24_3_1
ramulator.active_cycles_25,16055288,Total active cycles for level _25
ramulator.active_cycles_25_0,4062550,Total active cycles for level _25_0
ramulator.active_cycles_25_0_0,2031355,Total active cycles for level _25_0_0
ramulator.active_cycles_25_0_1,2041741,Total active cycles for level _25_0_1
ramulator.active_cycles_25_1,4110398,Total active cycles for level _25_1
ramulator.active_cycles_25_1_0,2073199,Total active cycles for level _25_1_0
ramulator.active_cycles_25_1_1,2048619,Total active cycles for level _25_1_1
ramulator.active_cycles_25_2,4114615,Total active cycles for level _25_2
ramulator.active_cycles_25_2_0,2061994,Total active cycles for level _25_2_0
ramulator.active_cycles_25_2_1,2065283,Total active cycles for level _25_2_1
ramulator.active_cycles_25_3,4088711,Total active cycles for level _25_3
ramulator.active_cycles_25_3_0,2063262,Total active cycles for level _25_3_0
ramulator.active_cycles_25_3_1,2036374,Total active cycles for level _25_3_1
ramulator.active_cycles_26,15995350,Total active cycles for level _26
ramulator.active_cycles_26_0,4056107,Total active cycles for level _26_0
ramulator.active_cycles_26_0_0,2036445,Total active cycles for level _26_0_0
ramulator.active_cycles_26_0_1,2031541,Total active cycles for level _26_0_1
ramulator.active_cycles_26_1,4108828,Total active cycles for level _26_1
ramulator.active_cycles_26_1_0,2081493,Total active cycles for level _26_1_0
ramulator.active_cycles_26_1_1,2039494,Total active cycles for level _26_1_1
ramulator.active_cycles_26_2,4100069,Total active cycles for level _26_2
ramulator.active_cycles_26_2_0,2059394,Total active cycles for level _26_2_0
ramulator.active_cycles_26_2_1,2053786,Total active cycles for level _26_2_1
ramulator.active_cycles_26_3,4061709,Total active cycles for level _26_3
ramulator.active_cycles_26_3_0,2057184,Total active cycles for level _26_3_0
ramulator.active_cycles_26_3_1,2017063,Total active cycles for level _26_3_1
ramulator.active_cycles_27,15910121,Total active cycles for level _27
ramulator.active_cycles_27_0,4035763,Total active cycles for level _27_0
ramulator.active_cycles_27_0_0,2024189,Total active cycles for level _27_0_0
ramulator.active_cycles_27_0_1,2024934,Total active cycles for level _27_0_1
ramulator.active_cycles_27_1,4078516,Total active cycles for level _27_1
ramulator.active_cycles_27_1_0,2054485,Total active cycles for level _27_1_0
ramulator.active_cycles_27_1_1,2038241,Total active cycles for level _27_1_1
ramulator.active_cycles_27_2,4078361,Total active cycles for level _27_2
ramulator.active_cycles_27_2_0,2045148,Total active cycles for level _27_2_0
ramulator.active_cycles_27_2_1,2048954,Total active cycles for level _27_2_1
ramulator.active_cycles_27_3,4054061,Total active cycles for level _27_3
ramulator.active_cycles_27_3_0,2051020,Total active cycles for level _27_3_0
ramulator.active_cycles_27_3_1,2016274,Total active cycles for level _27_3_1
ramulator.active_cycles_28,15632734,Total active cycles for level _28
ramulator.active_cycles_28_0,3976335,Total active cycles for level _28_0
ramulator.active_cycles_28_0_0,1994542,Total active cycles for level _28_0_0
ramulator.active_cycles_28_0_1,1996101,Total active cycles for level _28_0_1
ramulator.active_cycles_28_1,4006738,Total active cycles for level _28_1
ramulator.active_cycles_28_1_0,2019947,Total active cycles for level _28_1_0
ramulator.active_cycles_28_1_1,2000271,Total active cycles for level _28_1_1
ramulator.active_cycles_28_2,4015549,Total active cycles for level _28_2
ramulator.active_cycles_28_2_0,2009432,Total active cycles for level _28_2_0
ramulator.active_cycles_28_2_1,2021358,Total active cycles for level _28_2_1
ramulator.active_cycles_28_3,3983468,Total active cycles for level _28_3
ramulator.active_cycles_28_3_0,2005860,Total active cycles for level _28_3_0
ramulator.active_cycles_28_3_1,1991900,Total active cycles for level _28_3_1
ramulator.active_cycles_29,15338808,Total active cycles for level _29
ramulator.active_cycles_29_0,3894234,Total active cycles for level _29_0
ramulator.active_cycles_29_0_0,1946774,Total active cycles for level _29_0_0
ramulator.active_cycles_29_0_1,1961802,Total active cycles for level _29_0_1
ramulator.active_cycles_29_1,3936375,Total active cycles for level _29_1
ramulator.active_cycles_29_1_0,1979615,Total active cycles for level _29_1_0
ramulator.active_cycles_29_1_1,1970516,Total active cycles for level _29_1_1
ramulator.active_cycles_29_2,3931456,Total active cycles for level _29_2
ramulator.active_cycles_29_2_0,1967681,Total active cycles for level _29_2_0
ramulator.active_cycles_29_2_1,1977500,Total active cycles for level _29_2_1
ramulator.active_cycles_29_3,3912852,Total active cycles for level _29_3
ramulator.active_cycles_29_3_0,1972460,Total active cycles for level _29_3_0
ramulator.active_cycles_29_3_1,1952829,Total active cycles for level _29_3_1
ramulator.active_cycles_2_0,3920153,Total active cycles for level _2_0
ramulator.active_cycles_2_0_0,1965941,Total active cycles for level _2_0_0
ramulator.active_cycles_2_0_1,1962981,Total active cycles for level _2_0_1
ramulator.active_cycles_2_1,3934678,Total active cycles for level _2_1
ramulator.active_cycles_2_1_0,1960313,Total active cycles for level _2_1_0
ramulator.active_cycles_2_1_1,1984429,Total active cycles for level _2_1_1
ramulator.active_cycles_2_2,3953825,Total active cycles for level _2_2
ramulator.active_cycles_2_2_0,1987820,Total active cycles for level _2_2_0
ramulator.active_cycles_2_2_1,1975727,Total active cycles for level _2_2_1
ramulator.active_cycles_2_3,3950033,Total active cycles for level _2_3
ramulator.active_cycles_2_3_0,1983604,Total active cycles for level _2_3_0
ramulator.active_cycles_2_3_1,1977466,Total active cycles for level _2_3_1
ramulator.active_cycles_3,15542963,Total active cycles for level _3
