Metric,Value,Description
ramulator.active_cycles_8_2_1,3623366,Total active cycles for level _8_2_1
ramulator.active_cycles_8_3,6513070,Total active cycles for level _8_3
ramulator.active_cycles_8_3_0,3497056,Total active cycles for level _8_3_0
ramulator.active_cycles_8_3_1,3232992,Total active cycles for level _8_3_1
ramulator.active_cycles_9,34369648,Total active cycles for level _9
ramulator.active_cycles_9_0,8314842,Total active cycles for level _9_0
ramulator.active_cycles_9_0_0,3077694,Total active cycles for level _9_0_0
ramulator.active_cycles_9_0_1,5445119,Total active cycles for level _9_0_1
ramulator.active_cycles_9_1,13069757,Total active cycles for level _9_1
ramulator.active_cycles_9_1_0,8845883,Total active cycles for level _9_1_0
