Metric,Value,Description
ramulator.active_cycles_1_2,8764977,Total active cycles for level _1_2
ramulator.active_cycles_1_2_0,4415634,Total active cycles for level _1_2_0
ramulator.active_cycles_1_2_1,4365110,Total active cycles for level _1_2_1
ramulator.active_cycles_1_3,7614183,Total active cycles for level _1_3
ramulator.active_cycles_1_3_0,3506761,Total active cycles for level _1_3_0
ramulator.active_cycles_1_3_1,4119977,Total active cycles for level _1_3_1
ramulator.active_cycles_2,33139123,Total active cycles for level _2
ramulator.active_cycles_20,43352016,Total active cycles for level _20
ramulator.active_cycles_20_0,15431654,Total active cycles for level _20_0
ramulator.active_cycles_20_0_0,9137759,Total active cycles for level _20_0_0
ramulator.active_cycles_20_0_1,6310156,Total active cycles for level _20_0_1
ramulator.active_cycles_20_1,9310238,Total active cycles for level _20_1
ramulator.active_cycles_20_1_0,4377900,Total active cycles for level _20_1_0
ramulator.active_cycles_20_1_1,4957310,Total active cycles for level _20_1_1
ramulator.active_cycles_20_2,9846860,Total active cycles for level _20_2
ramulator.active_cycles_20_2_0,4467739,Total active cycles for level _20_2_0
ramulator.active_cycles_20_2_1,5397282,Total active cycles for level _20_2_1
ramulator.active_cycles_20_3,9621322,Total active cycles for level _20_3
ramulator.active_cycles_20_3_0,4894971,Total active cycles for level _20_3_0
ramulator.active_cycles_20_3_1,4740927,Total active cycles for level _20_3_1
ramulator.active_cycles_21,33435870,Total active cycles for level _21
ramulator.active_cycles_21_0,9728000,Total active cycles for level _21_0
ramulator.active_cycles_21_0_0,4814838,Total active cycles for level _21_0_0
ramulator.active_cycles_21_0_1,4926621,Total active cycles for level _21_0_1
ramulator.active_cycles_21_1,8129515,Total active cycles for level _21_1
ramulator.active_cycles_21_1_0,4361891,Total active cycles for level _21_1_0
ramulator.active_cycles_21_1_1,3783995,Total active cycles for level _21_1_1
ramulator.active_cycles_21_2,7513850,Total active cycles for level _21_2
ramulator.active_cycles_21_2_0,3833365,Total active cycles for level _21_2_0
ramulator.active_cycles_21_2_1,3698010,Total active cycles for level _21_2_1
ramulator.active_cycles_21_3,8912392,Total active cycles for level _21_3
ramulator.active_cycles_21_3_0,4112570,Total active cycles for level _21_3_0
ramulator.active_cycles_21_3_1,4811437,Total active cycles for level _21_3_1
ramulator.active_cycles_22,36128273,Total active cycles for level _22
ramulator.active_cycles_22_0,10533007,Total active cycles for level _22_0
ramulator.active_cycles_22_0_0,5432283,Total active cycles for level _22_0_0
ramulator.active_cycles_22_0_1,5113768,Total active cycles for level _22_0_1
ramulator.active_cycles_22_1,8984511,Total active cycles for level _22_1
ramulator.active_cycles_22_1_0,4389758,Total active cycles for level _22_1_0
ramulator.active_cycles_22_1_1,4612313,Total active cycles for level _22_1_1
ramulator.active_cycles_22_2,7766261,Total active cycles for level _22_2
ramulator.active_cycles_22_2_0,3730161,Total active cycles for level _22_2_0
ramulator.active_cycles_22_2_1,4053834,Total active cycles for level _22_2_1
ramulator.active_cycles_22_3,9695999,Total active cycles for level _22_3
ramulator.active_cycles_22_3_0,4844851,Total active cycles for level _22_3_0
ramulator.active_cycles_22_3_1,4868244,Total active cycles for level _22_3_1
ramulator.active_cycles_23,39785674,Total active cycles for level _23
ramulator.active_cycles_23_0,11072124,Total active cycles for level _23_0
ramulator.active_cycles_23_0_0,6029604,Total active cycles for level _23_0_0
ramulator.active_cycles_23_0_1,5058834,Total active cycles for level _23_0_1
ramulator.active_cycles_23_1,9200865,Total active cycles for level _23_1
ramulator.active_cycles_23_1_0,5304156,Total active cycles for level _23_1_0
ramulator.active_cycles_23_1_1,3918303,Total active cycles for level _23_1_1
ramulator.active_cycles_23_2,10657631,Total active cycles for level _23_2
ramulator.active_cycles_23_2_0,5469936,Total active cycles for level _23_2_0
ramulator.active_cycles_23_2_1,5219110,Total active cycles for level _23_2_1
ramulator.active_cycles_23_3,9729318,Total active cycles for level _23_3
ramulator.active_cycles_23_3_0,4975451,Total active cycles for level _23_3_0
ramulator.active_cycles_23_3_1,4768403,Total active cycles for level _23_3_1
ramulator.active_cycles_24,37973579,Total active cycles for level _24
ramulator.active_cycles_24_0,12081126,Total active cycles for level _24_0
ramulator.active_cycles_24_0_0,7138746,Total active cycles for level _24_0_0
ramulator.active_cycles_24_0_1,4959067,Total active cycles for level _24_0_1
ramulator.active_cycles_24_1,9091046,Total active cycles for level _24_1
ramulator.active_cycles_24_1_0,5335229,Total active cycles for level _24_1_0
ramulator.active_cycles_24_1_1,3777345,Total active cycles for level _24_1_1
ramulator.active_cycles_24_2,8596688,Total active cycles for level _24_2
ramulator.active_cycles_24_2_0,4296045,Total active cycles for level _24_2_0
ramulator.active_cycles_24_2_1,4323610,Total active cycles for level _24_2_1
ramulator.active_cycles_24_3,9086556,Total active cycles for level _24_3
ramulator.active_cycles_24_3_0,4368926,Total active cycles for level _24_3_0
ramulator.active_cycles_24_3_1,4735147,Total active cycles for level _24_3_1
ramulator.active_cycles_25,41161078,Total active cycles for level _25
ramulator.active_cycles_25_0,10506449,Total active cycles for level _25_0
ramulator.active_cycles_25_0_0,5426796,Total active cycles for level _25_0_0
ramulator.active_cycles_25_0_1,5095105,Total active cycles for level _25_0_1
ramulator.active_cycles_25_1,10624864,Total active cycles for level _25_1
ramulator.active_cycles_25_1_0,6708175,Total active cycles for level _25_1_0
ramulator.active_cycles_25_1_1,3940351,Total active cycles for level _25_1_1
ramulator.active_cycles_25_2,9959249,Total active cycles for level _25_2
ramulator.active_cycles_25_2_0,5799093,Total active cycles for level _25_2_0
ramulator.active_cycles_25_2_1,4185175,Total active cycles for level _25_2_1
ramulator.active_cycles_25_3,10915328,Total active cycles for level _25_3
