Metric,Value,Description
ramulator.active_cycles_21_1_0,874884,Total active cycles for level _21_1_0
ramulator.active_cycles_21_1_1,838747,Total active cycles for level _21_1_1
ramulator.active_cycles_21_2,1681097,Total active cycles for level _21_2
ramulator.active_cycles_21_2_0,839894,Total active cycles for level _21_2_0
ramulator.active_cycles_21_2_1,843550,Total active cycles for level _21_2_1
ramulator.active_cycles_21_3,1675215,Total active cycles for level _21_3
ramulator.active_cycles_21_3_0,841286,Total active cycles for level _21_3_0
ramulator.active_cycles_21_3_1,836218,Total active cycles for level _21_3_1
ramulator.active_cycles_22,6584377,Total active cycles for level _22
ramulator.active_cycles_22_0,1700493,Total active cycles for level _22_0
ramulator.active_cycles_22_0_0,846446,Total active cycles for level _22_0_0
ramulator.active_cycles_22_0_1,856557,Total active cycles for level _22_0_1
ramulator.active_cycles_22_1,1705016,Total active cycles for level _22_1
ramulator.active_cycles_22_1_0,869630,Total active cycles for level _22_1_0
ramulator.active_cycles_22_1_1,838635,Total active cycles for level _22_1_1
ramulator.active_cycles_22_2,1679505,Total active cycles for level _22_2
ramulator.active_cycles_22_2_0,837754,Total active cycles for level _22_2_0
ramulator.active_cycles_22_2_1,844100,Total active cycles for level _22_2_1
ramulator.active_cycles_22_3,1674397,Total active cycles for level _22_3
ramulator.active_cycles_22_3_0,839056,Total active cycles for level _22_3_0
ramulator.active_cycles_22_3_1,837973,Total active cycles for level _22_3_1
ramulator.active_cycles_23,6596146,Total active cycles for level _23
ramulator.active_cycles_23_0,1700275,Total active cycles for level _23_0
ramulator.active_cycles_23_0_0,840021,Total active cycles for level _23_0_0
ramulator.active_cycles_23_0_1,862549,Total active cycles for level _23_0_1
ramulator.active_cycles_23_1,1712644,Total active cycles for level _23_1
ramulator.active_cycles_23_1_0,871142,Total active cycles for level _23_1_0
ramulator.active_cycles_23_1_1,843712,Total active cycles for level _23_1_1
ramulator.active_cycles_23_2,1684043,Total active cycles for level _23_2
ramulator.active_cycles_23_2_0,841014,Total active cycles for level _23_2_0
ramulator.active_cycles_23_2_1,845743,Total active cycles for level _23_2_1
ramulator.active_cycles_23_3,1690825,Total active cycles for level _23_3
ramulator.active_cycles_23_3_0,842131,Total active cycles for level _23_3_0
ramulator.active_cycles_23_3_1,851219,Total active cycles for level _23_3_1
ramulator.active_cycles_24,6581242,Total active cycles for level _24
ramulator.active_cycles_24_0,1702019,Total active cycles for level _24_0
ramulator.active_cycles_24_0_0,842771,Total active cycles for level _24_0_0
ramulator.active_cycles_24_0_1,861081,Total active cycles for level _24_0_1
ramulator.active_cycles_24_1,1713367,Total active cycles for level _24_1
ramulator.active_cycles_24_1_0,867111,Total active cycles for level _24_1_0
ramulator.active_cycles_24_1_1,848046,Total active cycles for level _24_1_1
ramulator.active_cycles_24_2,1680834,Total active cycles for level _24_2
ramulator.active_cycles_24_2_0,841505,Total active cycles for level _24_2_0
ramulator.active_cycles_24_2_1,841425,Total active cycles for level _24_2_1
ramulator.active_cycles_24_3,1679260,Total active cycles for level _24_3
ramulator.active_cycles_24_3_0,841635,Total active cycles for level _24_3_0
ramulator.active_cycles_24_3_1,839012,Total active cycles for level _24_3_1
ramulator.active_cycles_25,6619734,Total active cycles for level _25
ramulator.active_cycles_25_0,1705988,Total active cycles for level _25_0
ramulator.active_cycles_25_0_0,849837,Total active cycles for level _25_0_0
ramulator.active_cycles_25_0_1,858944,Total active cycles for level _25_0_1
ramulator.active_cycles_25_1,1711722,Total active cycles for level _25_1
ramulator.active_cycles_25_1_0,868565,Total active cycles for level _25_1_0
ramulator.active_cycles_25_1_1,846059,Total active cycles for level _25_1_1
ramulator.active_cycles_25_2,1677085,Total active cycles for level _25_2
ramulator.active_cycles_25_2_0,836841,Total active cycles for level _25_2_0
ramulator.active_cycles_25_2_1,842914,Total active cycles for level _25_2_1
ramulator.active_cycles_25_3,1683980,Total active cycles for level _25_3
ramulator.active_cycles_25_3_0,841571,Total active cycles for level _25_3_0
ramulator.active_cycles_25_3_1,845633,Total active cycles for level _25_3_1
ramulator.active_cycles_26,6573167,Total active cycles for level _26
ramulator.active_cycles_26_0,1711009,Total active cycles for level _26_0
ramulator.active_cycles_26_0_0,849667,Total active cycles for level _26_0_0
ramulator.active_cycles_26_0_1,863053,Total active cycles for level _26_0_1
ramulator.active_cycles_26_1,1707107,Total active cycles for level _26_1
ramulator.active_cycles_26_1_0,870068,Total active cycles for level _26_1_0
ramulator.active_cycles_26_1_1,839181,Total active cycles for level _26_1_1
ramulator.active_cycles_26_2,1681463,Total active cycles for level _26_2
ramulator.active_cycles_26_2_0,842553,Total active cycles for level _26_2_0
ramulator.active_cycles_26_2_1,841159,Total active cycles for level _26_2_1
ramulator.active_cycles_26_3,1682516,Total active cycles for level _26_3
ramulator.active_cycles_26_3_0,841162,Total active cycles for level _26_3_0
ramulator.active_cycles_26_3_1,843554,Total active cycles for level _26_3_1
ramulator.active_cycles_27,6565633,Total active cycles for level _27
ramulator.active_cycles_27_0,1707624,Total active cycles for level _27_0
ramulator.active_cycles_27_0_0,844712,Total active cycles for level _27_0_0
ramulator.active_cycles_27_0_1,865084,Total active cycles for level _27_0_1
ramulator.active_cycles_27_1,1712052,Total active cycles for level _27_1
ramulator.active_cycles_27_1_0,869609,Total active cycles for level _27_1_0
ramulator.active_cycles_27_1_1,844881,Total active cycles for level _27_1_1
ramulator.active_cycles_27_2,1683108,Total active cycles for level _27_2
ramulator.active_cycles_27_2_0,844119,Total active cycles for level _27_2_0
ramulator.active_cycles_27_2_1,841260,Total active cycles for level _27_2_1
ramulator.active_cycles_27_3,1683211,Total active cycles for level _27_3
ramulator.active_cycles_27_3_0,842710,Total active cycles for level _27_3_0
ramulator.active_cycles_27_3_1,842953,Total active cycles for level _27_3_1
ramulator.active_cycles_28,6626756,Total active cycles for level _28
ramulator.active_cycles_28_0,1707886,Total active cycles for level _28_0
ramulator.active_cycles_28_0_0,847938,Total active cycles for level _28_0_0
ramulator.active_cycles_28_0_1,863837,Total active cycles for level _28_0_1
ramulator.active_cycles_28_1,1714353,Total active cycles for level _28_1
ramulator.active_cycles_28_1_0,876534,Total active cycles for level _28_1_0
ramulator.active_cycles_28_1_1,841490,Total active cycles for level _28_1_1
ramulator.active_cycles_28_2,1682073,Total active cycles for level _28_2
ramulator.active_cycles_28_2_0,841163,Total active cycles for level _28_2_0
ramulator.active_cycles_28_2_1,844521,Total active cycles for level _28_2_1
ramulator.active_cycles_28_3,1696609,Total active cycles for level _28_3
ramulator.active_cycles_28_3_0,859085,Total active cycles for level _28_3_0
ramulator.active_cycles_28_3_1,841831,Total active cycles for level _28_3_1
ramulator.active_cycles_29,6607301,Total active cycles for level _29
ramulator.active_cycles_29_0,1692545,Total active cycles for level _29_0
ramulator.active_cycles_29_0_0,837964,Total active cycles for level _29_0_0
ramulator.active_cycles_29_0_1,857967,Total active cycles for level _29_0_1
ramulator.active_cycles_29_1,1699461,Total active cycles for level _29_1
ramulator.active_cycles_29_1_0,865383,Total active cycles for level _29_1_0
ramulator.active_cycles_29_1_1,836923,Total active cycles for level _29_1_1
ramulator.active_cycles_29_2,1672348,Total active cycles for level _29_2
ramulator.active_cycles_29_2_0,836718,Total active cycles for level _29_2_0
ramulator.active_cycles_29_2_1,838647,Total active cycles for level _29_2_1
ramulator.active_cycles_29_3,1673195,Total active cycles for level _29_3
ramulator.active_cycles_29_3_0,837457,Total active cycles for level _29_3_0
ramulator.active_cycles_29_3_1,838229,Total active cycles for level _29_3_1
ramulator.active_cycles_2_0,5532450,Total active cycles for level _2_0
ramulator.active_cycles_2_0_0,2820225,Total active cycles for level _2_0_0
ramulator.active_cycles_2_0_1,2715932,Total active cycles for level _2_0_1
ramulator.active_cycles_2_1,2481454,Total active cycles for level _2_1
ramulator.active_cycles_2_1_0,1611472,Total active cycles for level _2_1_0
ramulator.active_cycles_2_1_1,873767,Total active cycles for level _2_1_1
ramulator.active_cycles_2_2,7530904,Total active cycles for level _2_2
ramulator.active_cycles_2_2_0,2685696,Total active cycles for level _2_2_0
ramulator.active_cycles_2_2_1,4848317,Total active cycles for level _2_2_1
ramulator.active_cycles_2_3,3854205,Total active cycles for level _2_3
ramulator.active_cycles_2_3_0,2839945,Total active cycles for level _2_3_0
ramulator.active_cycles_2_3_1,1016787,Total active cycles for level _2_3_1
ramulator.active_cycles_3,12910432,Total active cycles for level _3
ramulator.active_cycles_30,6593923,Total active cycles for level _30
ramulator.active_cycles_30_0,1689834,Total active cycles for level _30_0
ramulator.active_cycles_30_0_0,843357,Total active cycles for level _30_0_0
ramulator.active_cycles_30_0_1,856255,Total active cycles for level _30_0_1
ramulator.active_cycles_30_1,1695156,Total active cycles for level _30_1
ramulator.active_cycles_30_1_0,865852,Total active cycles for level _30_1_0
ramulator.active_cycles_30_1_1,839642,Total active cycles for level _30_1_1
ramulator.active_cycles_30_2,1670535,Total active cycles for level _30_2
ramulator.active_cycles_30_2_0,838793,Total active cycles for level _30_2_0
ramulator.active_cycles_30_2_1,841161,Total active cycles for level _30_2_1
ramulator.active_cycles_30_3,1673475,Total active cycles for level _30_3
ramulator.active_cycles_30_3_0,844713,Total active cycles for level _30_3_0
ramulator.active_cycles_30_3_1,838130,Total active cycles for level _30_3_1
ramulator.active_cycles_31,6624992,Total active cycles for level _31
ramulator.active_cycles_31_0,1700213,Total active cycles for level _31_0
ramulator.active_cycles_31_0_0,844596,Total active cycles for level _31_0_0
ramulator.active_cycles_31_0_1,858062,Total active cycles for level _31_0_1
ramulator.active_cycles_31_1,1709578,Total active cycles for level _31_1
ramulator.active_cycles_31_1_0,871620,Total active cycles for level _31_1_0
ramulator.active_cycles_31_1_1,840589,Total active cycles for level _31_1_1
ramulator.active_cycles_31_2,1668093,Total active cycles for level _31_2
ramulator.active_cycles_31_2_0,835084,Total active cycles for level _31_2_0
ramulator.active_cycles_31_2_1,836011,Total active cycles for level _31_2_1
ramulator.active_cycles_31_3,1674652,Total active cycles for level _31_3
ramulator.active_cycles_31_3_0,840754,Total active cycles for level _31_3_0
ramulator.active_cycles_31_3_1,836285,Total active cycles for level _31_3_1
ramulator.active_cycles_3_0,3592652,Total active cycles for level _3_0
ramulator.active_cycles_3_0_0,1572818,Total active cycles for level _3_0_0
ramulator.active_cycles_3_0_1,2021744,Total active cycles for level _3_0_1
ramulator.active_cycles_3_1,1735745,Total active cycles for level _3_1
ramulator.active_cycles_3_1_0,868892,Total active cycles for level _3_1_0
ramulator.active_cycles_3_1_1,869465,Total active cycles for level _3_1_1
ramulator.active_cycles_3_2,3771520,Total active cycles for level _3_2
ramulator.active_cycles_3_2_0,850987,Total active cycles for level _3_2_0
ramulator.active_cycles_3_2_1,2922796,Total active cycles for level _3_2_1
ramulator.active_cycles_3_3,3979138,Total active cycles for level _3_3
ramulator.active_cycles_3_3_0,2001907,Total active cycles for level _3_3_0
ramulator.active_cycles_3_3_1,1979525,Total active cycles for level _3_3_1
ramulator.active_cycles_4,8816591,Total active cycles for level _4
ramulator.active_cycles_4_0,2418444,Total active cycles for level _4_0
ramulator.active_cycles_4_0_0,848540,Total active cycles for level _4_0_0
ramulator.active_cycles_4_0_1,1572423,Total active cycles for level _4_0_1
