Metric,Value,Description
ramulator.active_cycles_21_0,49492,Total active cycles for level _21_0
ramulator.active_cycles_21_0_0,32596,Total active cycles for level _21_0_0
ramulator.active_cycles_21_0_1,17037,Total active cycles for level _21_0_1
ramulator.active_cycles_21_1,116959,Total active cycles for level _21_1
ramulator.active_cycles_21_1_0,48573,Total active cycles for level _21_1_0
ramulator.active_cycles_21_1_1,68772,Total active cycles for level _21_1_1
ramulator.active_cycles_21_2,90489,Total active cycles for level _21_2
ramulator.active_cycles_21_2_0,37839,Total active cycles for level _21_2_0
ramulator.active_cycles_21_2_1,52910,Total active cycles for level _21_2_1
ramulator.active_cycles_21_3,40958,Total active cycles for level _21_3
ramulator.active_cycles_21_3_0,18656,Total active cycles for level _21_3_0
ramulator.active_cycles_21_3_1,22497,Total active cycles for level _21_3_1
ramulator.active_cycles_22,173140,Total active cycles for level _22
ramulator.active_cycles_22_0,44873,Total active cycles for level _22_0
ramulator.active_cycles_22_0_0,29981,Total active cycles for level _22_0_0
ramulator.active_cycles_22_0_1,15208,Total active cycles for level _22_0_1
ramulator.active_cycles_22_1,65664,Total active cycles for level _22_1
ramulator.active_cycles_22_1_0,23466,Total active cycles for level _22_1_0
ramulator.active_cycles_22_1_1,42513,Total active cycles for level _22_1_1
ramulator.active_cycles_22_2,44361,Total active cycles for level _22_2
ramulator.active_cycles_22_2_0,17190,Total active cycles for level _22_2_0
ramulator.active_cycles_22_2_1,27496,Total active cycles for level _22_2_1
ramulator.active_cycles_22_3,22435,Total active cycles for level _22_3
ramulator.active_cycles_22_3_0,10012,Total active cycles for level _22_3_0
ramulator.active_cycles_22_3_1,12746,Total active cycles for level _22_3_1
ramulator.active_cycles_23,93207,Total active cycles for level _23
ramulator.active_cycles_23_0,24853,Total active cycles for level _23_0
ramulator.active_cycles_23_0_0,13973,Total active cycles for level _23_0_0
ramulator.active_cycles_23_0_1,11084,Total active cycles for level _23_0_1
ramulator.active_cycles_23_1,34178,Total active cycles for level _23_1
ramulator.active_cycles_23_1_0,13077,Total active cycles for level _23_1_0
ramulator.active_cycles_23_1_1,21238,Total active cycles for level _23_1_1
ramulator.active_cycles_23_2,19506,Total active cycles for level _23_2
ramulator.active_cycles_23_2_0,9395,Total active cycles for level _23_2_0
ramulator.active_cycles_23_2_1,10325,Total active cycles for level _23_2_1
ramulator.active_cycles_23_3,19041,Total active cycles for level _23_3
ramulator.active_cycles_23_3_0,9274,Total active cycles for level _23_3_0
ramulator.active_cycles_23_3_1,10095,Total active cycles for level _23_3_1
ramulator.active_cycles_24,105925,Total active cycles for level _24
ramulator.active_cycles_24_0,34849,Total active cycles for level _24_0
ramulator.active_cycles_24_0_0,19413,Total active cycles for level _24_0_0
ramulator.active_cycles_24_0_1,16419,Total active cycles for level _24_0_1
ramulator.active_cycles_24_1,34453,Total active cycles for level _24_1
ramulator.active_cycles_24_1_0,11564,Total active cycles for level _24_1_0
ramulator.active_cycles_24_1_1,23041,Total active cycles for level _24_1_1
ramulator.active_cycles_24_2,24485,Total active cycles for level _24_2
ramulator.active_cycles_24_2_0,11652,Total active cycles for level _24_2_0
ramulator.active_cycles_24_2_1,13110,Total active cycles for level _24_2_1
ramulator.active_cycles_24_3,17255,Total active cycles for level _24_3
ramulator.active_cycles_24_3_0,9199,Total active cycles for level _24_3_0
ramulator.active_cycles_24_3_1,8279,Total active cycles for level _24_3_1
ramulator.active_cycles_25,200073,Total active cycles for level _25
ramulator.active_cycles_25_0,49770,Total active cycles for level _25_0
ramulator.active_cycles_25_0_0,20743,Total active cycles for level _25_0_0
ramulator.active_cycles_25_0_1,30040,Total active cycles for level _25_0_1
ramulator.active_cycles_25_1,76505,Total active cycles for level _25_1
ramulator.active_cycles_25_1_0,22443,Total active cycles for level _25_1_0
ramulator.active_cycles_25_1_1,54196,Total active cycles for level _25_1_1
