Metric,Value,Description
ramulator.active_cycles_18_2_1,8926,Total active cycles for level _18_2_1
ramulator.active_cycles_18_3,29180,Total active cycles for level _18_3
ramulator.active_cycles_18_3_0,13845,Total active cycles for level _18_3_0
ramulator.active_cycles_18_3_1,15488,Total active cycles for level _18_3_1
ramulator.active_cycles_19,210369,Total active cycles for level _19
ramulator.active_cycles_19_0,45166,Total active cycles for level _19_0
ramulator.active_cycles_19_0_0,25567,Total active cycles for level _19_0_0
ramulator.active_cycles_19_0_1,19659,Total active cycles for level _19_0_1
ramulator.active_cycles_19_1,76563,Total active cycles for level _19_1
ramulator.active_cycles_19_1_0,44573,Total active cycles for level _19_1_0
ramulator.active_cycles_19_1_1,32183,Total active cycles for level _19_1_1
ramulator.active_cycles_19_2,48927,Total active cycles for level _19_2
ramulator.active_cycles_19_2_0,24537,Total active cycles for level _19_2_0
ramulator.active_cycles_19_2_1,24500,Total active cycles for level _19_2_1
ramulator.active_cycles_19_3,44015,Total active cycles for level _19_3
ramulator.active_cycles_19_3_0,17237,Total active cycles for level _19_3_0
ramulator.active_cycles_19_3_1,26880,Total active cycles for level _19_3_1
ramulator.active_cycles_1_0,35024,Total active cycles for level _1_0
ramulator.active_cycles_1_0_0,21126,Total active cycles for level _1_0_0
ramulator.active_cycles_1_0_1,13958,Total active cycles for level _1_0_1
ramulator.active_cycles_1_1,77805,Total active cycles for level _1_1
ramulator.active_cycles_1_1_0,56376,Total active cycles for level _1_1_0
ramulator.active_cycles_1_1_1,21641,Total active cycles for level _1_1_1
ramulator.active_cycles_1_2,149078,Total active cycles for level _1_2
ramulator.active_cycles_1_2_0,60119,Total active cycles for level _1_2_0
ramulator.active_cycles_1_2_1,89152,Total active cycles for level _1_2_1
ramulator.active_cycles_1_3,62852,Total active cycles for level _1_3
ramulator.active_cycles_1_3_0,22108,Total active cycles for level _1_3_0
ramulator.active_cycles_1_3_1,41045,Total active cycles for level _1_3_1
ramulator.active_cycles_2,247104,Total active cycles for level _2
ramulator.active_cycles_20,221952,Total active cycles for level _20
ramulator.active_cycles_20_0,31383,Total active cycles for level _20_0
ramulator.active_cycles_20_0_0,22852,Total active cycles for level _20_0_0
ramulator.active_cycles_20_0_1,8691,Total active cycles for level _20_0_1
ramulator.active_cycles_20_1,72529,Total active cycles for level _20_1
ramulator.active_cycles_20_1_0,35560,Total active cycles for level _20_1_0
ramulator.active_cycles_20_1_1,37009,Total active cycles for level _20_1_1
ramulator.active_cycles_20_2,78279,Total active cycles for level _20_2
ramulator.active_cycles_20_2_0,20996,Total active cycles for level _20_2_0
ramulator.active_cycles_20_2_1,57498,Total active cycles for level _20_2_1
ramulator.active_cycles_20_3,44533,Total active cycles for level _20_3
ramulator.active_cycles_20_3_0,9235,Total active cycles for level _20_3_0
ramulator.active_cycles_20_3_1,35436,Total active cycles for level _20_3_1
ramulator.active_cycles_21,293507,Total active cycles for level _21
ramulator.active_cycles_21_0,49434,Total active cycles for level _21_0
ramulator.active_cycles_21_0_0,32575,Total active cycles for level _21_0_0
ramulator.active_cycles_21_0_1,17000,Total active cycles for level _21_0_1
ramulator.active_cycles_21_1,117563,Total active cycles for level _21_1
ramulator.active_cycles_21_1_0,48876,Total active cycles for level _21_1_0
ramulator.active_cycles_21_1_1,68984,Total active cycles for level _21_1_1
ramulator.active_cycles_21_2,90102,Total active cycles for level _21_2
ramulator.active_cycles_21_2_0,37575,Total active cycles for level _21_2_0
ramulator.active_cycles_21_2_1,52787,Total active cycles for level _21_2_1
ramulator.active_cycles_21_3,41378,Total active cycles for level _21_3
ramulator.active_cycles_21_3_0,18924,Total active cycles for level _21_3_0
ramulator.active_cycles_21_3_1,22649,Total active cycles for level _21_3_1
ramulator.active_cycles_22,174110,Total active cycles for level _22
ramulator.active_cycles_22_0,45091,Total active cycles for level _22_0
ramulator.active_cycles_22_0_0,30216,Total active cycles for level _22_0_0
ramulator.active_cycles_22_0_1,15191,Total active cycles for level _22_0_1
ramulator.active_cycles_22_1,65892,Total active cycles for level _22_1
ramulator.active_cycles_22_1_0,23660,Total active cycles for level _22_1_0
ramulator.active_cycles_22_1_1,42598,Total active cycles for level _22_1_1
ramulator.active_cycles_22_2,44691,Total active cycles for level _22_2
ramulator.active_cycles_22_2_0,17166,Total active cycles for level _22_2_0
ramulator.active_cycles_22_2_1,27850,Total active cycles for level _22_2_1
ramulator.active_cycles_22_3,22585,Total active cycles for level _22_3
ramulator.active_cycles_22_3_0,10267,Total active cycles for level _22_3_0
ramulator.active_cycles_22_3_1,12685,Total active cycles for level _22_3_1
ramulator.active_cycles_23,93513,Total active cycles for level _23
ramulator.active_cycles_23_0,24409,Total active cycles for level _23_0
ramulator.active_cycles_23_0_0,13495,Total active cycles for level _23_0_0
ramulator.active_cycles_23_0_1,11118,Total active cycles for level _23_0_1
ramulator.active_cycles_23_1,34976,Total active cycles for level _23_1
ramulator.active_cycles_23_1_0,13171,Total active cycles for level _23_1_0
ramulator.active_cycles_23_1_1,21973,Total active cycles for level _23_1_1
ramulator.active_cycles_23_2,19423,Total active cycles for level _23_2
ramulator.active_cycles_23_2_0,9346,Total active cycles for level _23_2_0
ramulator.active_cycles_23_2_1,10291,Total active cycles for level _23_2_1
ramulator.active_cycles_23_3,19029,Total active cycles for level _23_3
ramulator.active_cycles_23_3_0,9278,Total active cycles for level _23_3_0
ramulator.active_cycles_23_3_1,10079,Total active cycles for level _23_3_1
ramulator.active_cycles_24,105587,Total active cycles for level _24
ramulator.active_cycles_24_0,35066,Total active cycles for level _24_0
ramulator.active_cycles_24_0_0,19421,Total active cycles for level _24_0_0
ramulator.active_cycles_24_0_1,16714,Total active cycles for level _24_0_1
ramulator.active_cycles_24_1,34355,Total active cycles for level _24_1
ramulator.active_cycles_24_1_0,11226,Total active cycles for level _24_1_0
ramulator.active_cycles_24_1_1,23224,Total active cycles for level _24_1_1
ramulator.active_cycles_24_2,24222,Total active cycles for level _24_2
ramulator.active_cycles_24_2_0,11421,Total active cycles for level _24_2_0
ramulator.active_cycles_24_2_1,13063,Total active cycles for level _24_2_1
ramulator.active_cycles_24_3,17242,Total active cycles for level _24_3
ramulator.active_cycles_24_3_0,9163,Total active cycles for level _24_3_0
ramulator.active_cycles_24_3_1,8322,Total active cycles for level _24_3_1
ramulator.active_cycles_25,200282,Total active cycles for level _25
ramulator.active_cycles_25_0,49824,Total active cycles for level _25_0
ramulator.active_cycles_25_0_0,20926,Total active cycles for level _25_0_0
ramulator.active_cycles_25_0_1,29981,Total active cycles for level _25_0_1
ramulator.active_cycles_25_1,77002,Total active cycles for level _25_1
ramulator.active_cycles_25_1_0,22817,Total active cycles for level _25_1_0
ramulator.active_cycles_25_1_1,54359,Total active cycles for level _25_1_1
ramulator.active_cycles_25_2,36705,Total active cycles for level _25_2
ramulator.active_cycles_25_2_0,15159,Total active cycles for level _25_2_0
ramulator.active_cycles_25_2_1,21788,Total active cycles for level _25_2_1
ramulator.active_cycles_25_3,42867,Total active cycles for level _25_3
ramulator.active_cycles_25_3_0,31832,Total active cycles for level _25_3_0
ramulator.active_cycles_25_3_1,11144,Total active cycles for level _25_3_1
ramulator.active_cycles_26,165978,Total active cycles for level _26
ramulator.active_cycles_26_0,46014,Total active cycles for level _26_0
ramulator.active_cycles_26_0_0,22687,Total active cycles for level _26_0_0
ramulator.active_cycles_26_0_1,23956,Total active cycles for level _26_0_1
ramulator.active_cycles_26_1,37491,Total active cycles for level _26_1
ramulator.active_cycles_26_1_0,10209,Total active cycles for level _26_1_0
ramulator.active_cycles_26_1_1,27388,Total active cycles for level _26_1_1
ramulator.active_cycles_26_2,54371,Total active cycles for level _26_2
ramulator.active_cycles_26_2_0,11985,Total active cycles for level _26_2_0
ramulator.active_cycles_26_2_1,42517,Total active cycles for level _26_2_1
ramulator.active_cycles_26_3,32916,Total active cycles for level _26_3
ramulator.active_cycles_26_3_0,23549,Total active cycles for level _26_3_0
ramulator.active_cycles_26_3_1,9427,Total active cycles for level _26_3_1
ramulator.active_cycles_27,95138,Total active cycles for level _27
ramulator.active_cycles_27_0,29139,Total active cycles for level _27_0
ramulator.active_cycles_27_0_0,12167,Total active cycles for level _27_0_0
ramulator.active_cycles_27_0_1,17477,Total active cycles for level _27_0_1
ramulator.active_cycles_27_1,22714,Total active cycles for level _27_1
ramulator.active_cycles_27_1_0,8838,Total active cycles for level _27_1_0
ramulator.active_cycles_27_1_1,14056,Total active cycles for level _27_1_1
ramulator.active_cycles_27_2,25020,Total active cycles for level _27_2
ramulator.active_cycles_27_2_0,9191,Total active cycles for level _27_2_0
ramulator.active_cycles_27_2_1,16071,Total active cycles for level _27_2_1
ramulator.active_cycles_27_3,22765,Total active cycles for level _27_3
ramulator.active_cycles_27_3_0,15125,Total active cycles for level _27_3_0
ramulator.active_cycles_27_3_1,7910,Total active cycles for level _27_3_1
ramulator.active_cycles_28,76560,Total active cycles for level _28
ramulator.active_cycles_28_0,28108,Total active cycles for level _28_0
ramulator.active_cycles_28_0_0,17000,Total active cycles for level _28_0_0
ramulator.active_cycles_28_0_1,12144,Total active cycles for level _28_0_1
ramulator.active_cycles_28_1,18526,Total active cycles for level _28_1
ramulator.active_cycles_28_1_0,9118,Total active cycles for level _28_1_0
ramulator.active_cycles_28_1_1,9428,Total active cycles for level _28_1_1
ramulator.active_cycles_28_2,18345,Total active cycles for level _28_2
ramulator.active_cycles_28_2_0,8365,Total active cycles for level _28_2_0
ramulator.active_cycles_28_2_1,10090,Total active cycles for level _28_2_1
ramulator.active_cycles_28_3,15905,Total active cycles for level _28_3
ramulator.active_cycles_28_3_0,8934,Total active cycles for level _28_3_0
ramulator.active_cycles_28_3_1,7201,Total active cycles for level _28_3_1
ramulator.active_cycles_29,125121,Total active cycles for level _29
ramulator.active_cycles_29_0,22579,Total active cycles for level _29_0
ramulator.active_cycles_29_0_0,12396,Total active cycles for level _29_0_0
ramulator.active_cycles_29_0_1,10523,Total active cycles for level _29_0_1
ramulator.active_cycles_29_1,43689,Total active cycles for level _29_1
ramulator.active_cycles_29_1_0,20557,Total active cycles for level _29_1_0
ramulator.active_cycles_29_1_1,23255,Total active cycles for level _29_1_1
ramulator.active_cycles_29_2,25918,Total active cycles for level _29_2
ramulator.active_cycles_29_2_0,17010,Total active cycles for level _29_2_0
ramulator.active_cycles_29_2_1,9088,Total active cycles for level _29_2_1
ramulator.active_cycles_29_3,37565,Total active cycles for level _29_3
ramulator.active_cycles_29_3_0,22363,Total active cycles for level _29_3_0
ramulator.active_cycles_29_3_1,15388,Total active cycles for level _29_3_1
ramulator.active_cycles_2_0,45532,Total active cycles for level _2_0
ramulator.active_cycles_2_0_0,21015,Total active cycles for level _2_0_0
ramulator.active_cycles_2_0_1,24677,Total active cycles for level _2_0_1
ramulator.active_cycles_2_1,66650,Total active cycles for level _2_1
ramulator.active_cycles_2_1_0,13509,Total active cycles for level _2_1_0
ramulator.active_cycles_2_1_1,53451,Total active cycles for level _2_1_1
ramulator.active_cycles_2_2,95355,Total active cycles for level _2_2
ramulator.active_cycles_2_2_0,50774,Total active cycles for level _2_2_0
ramulator.active_cycles_2_2_1,44774,Total active cycles for level _2_2_1
ramulator.active_cycles_2_3,44703,Total active cycles for level _2_3
ramulator.active_cycles_2_3_0,15150,Total active cycles for level _2_3_0
ramulator.active_cycles_2_3_1,29731,Total active cycles for level _2_3_1
ramulator.active_cycles_3,148189,Total active cycles for level _3
ramulator.active_cycles_30,143521,Total active cycles for level _30
ramulator.active_cycles_30_0,27333,Total active cycles for level _30_0
ramulator.active_cycles_30_0_0,18185,Total active cycles for level _30_0_0
ramulator.active_cycles_30_0_1,9339,Total active cycles for level _30_0_1
ramulator.active_cycles_30_1,44204,Total active cycles for level _30_1
ramulator.active_cycles_30_1_0,19659,Total active cycles for level _30_1_0
ramulator.active_cycles_30_1_1,24706,Total active cycles for level _30_1_1
ramulator.active_cycles_30_2,35429,Total active cycles for level _30_2
ramulator.active_cycles_30_2_0,27386,Total active cycles for level _30_2_0
ramulator.active_cycles_30_2_1,8123,Total active cycles for level _30_2_1
ramulator.active_cycles_30_3,40937,Total active cycles for level _30_3
ramulator.active_cycles_30_3_0,21458,Total active cycles for level _30_3_0
ramulator.active_cycles_30_3_1,19780,Total active cycles for level _30_3_1
ramulator.active_cycles_31,112201,Total active cycles for level _31
ramulator.active_cycles_31_0,20981,Total active cycles for level _31_0
ramulator.active_cycles_31_0_0,12530,Total active cycles for level _31_0_0
ramulator.active_cycles_31_0_1,8582,Total active cycles for level _31_0_1
ramulator.active_cycles_31_1,44560,Total active cycles for level _31_1
ramulator.active_cycles_31_1_0,26339,Total active cycles for level _31_1_0
ramulator.active_cycles_31_1_1,18335,Total active cycles for level _31_1_1
ramulator.active_cycles_31_2,24498,Total active cycles for level _31_2
ramulator.active_cycles_31_2_0,16462,Total active cycles for level _31_2_0
ramulator.active_cycles_31_2_1,8116,Total active cycles for level _31_2_1
ramulator.active_cycles_31_3,26544,Total active cycles for level _31_3
ramulator.active_cycles_31_3_0,11680,Total active cycles for level _31_3_0
ramulator.active_cycles_31_3_1,15044,Total active cycles for level _31_3_1
ramulator.active_cycles_3_0,36046,Total active cycles for level _3_0
ramulator.active_cycles_3_0_0,11305,Total active cycles for level _3_0_0
ramulator.active_cycles_3_0_1,24801,Total active cycles for level _3_0_1
