Metric,Value,Description
ramulator.active_cycles_27_3,9429350,Total active cycles for level _27_3
ramulator.active_cycles_27_3_0,3150234,Total active cycles for level _27_3_0
ramulator.active_cycles_27_3_1,6294825,Total active cycles for level _27_3_1
ramulator.active_cycles_28,15195476,Total active cycles for level _28
ramulator.active_cycles_28_0,3448706,Total active cycles for level _28_0
ramulator.active_cycles_28_0_0,1208460,Total active cycles for level _28_0_0
ramulator.active_cycles_28_0_1,2254619,Total active cycles for level _28_0_1
ramulator.active_cycles_28_1,3297848,Total active cycles for level _28_1
ramulator.active_cycles_28_1_0,1146213,Total active cycles for level _28_1_0
ramulator.active_cycles_28_1_1,2165550,Total active cycles for level _28_1_1
ramulator.active_cycles_28_2,3315422,Total active cycles for level _28_2
ramulator.active_cycles_28_2_0,1137960,Total active cycles for level _28_2_0
ramulator.active_cycles_28_2_1,2190309,Total active cycles for level _28_2_1
ramulator.active_cycles_28_3,5623496,Total active cycles for level _28_3
ramulator.active_cycles_28_3_0,3461788,Total active cycles for level _28_3_0
ramulator.active_cycles_28_3_1,2174589,Total active cycles for level _28_3_1
ramulator.active_cycles_29,31034083,Total active cycles for level _29
ramulator.active_cycles_29_0,10721221,Total active cycles for level _29_0
ramulator.active_cycles_29_0_0,3262807,Total active cycles for level _29_0_0
ramulator.active_cycles_29_0_1,7473763,Total active cycles for level _29_0_1
ramulator.active_cycles_29_1,3696367,Total active cycles for level _29_1
ramulator.active_cycles_29_1_0,2367230,Total active cycles for level _29_1_0
ramulator.active_cycles_29_1_1,1343816,Total active cycles for level _29_1_1
ramulator.active_cycles_29_2,6987233,Total active cycles for level _29_2
ramulator.active_cycles_29_2_0,5408999,Total active cycles for level _29_2_0
ramulator.active_cycles_29_2_1,1593679,Total active cycles for level _29_2_1
ramulator.active_cycles_29_3,10045457,Total active cycles for level _29_3
ramulator.active_cycles_29_3_0,7112128,Total active cycles for level _29_3_0
ramulator.active_cycles_29_3_1,2946383,Total active cycles for level _29_3_1
ramulator.active_cycles_2_0,13753075,Total active cycles for level _2_0
ramulator.active_cycles_2_0_0,4664080,Total active cycles for level _2_0_0
ramulator.active_cycles_2_0_1,9101024,Total active cycles for level _2_0_1
ramulator.active_cycles_2_1,4942657,Total active cycles for level _2_1
ramulator.active_cycles_2_1_0,1275838,Total active cycles for level _2_1_0
ramulator.active_cycles_2_1_1,3678494,Total active cycles for level _2_1_1
ramulator.active_cycles_2_2,19886029,Total active cycles for level _2_2
ramulator.active_cycles_2_2_0,14331898,Total active cycles for level _2_2_0
ramulator.active_cycles_2_2_1,5563893,Total active cycles for level _2_2_1
ramulator.active_cycles_2_3,8286538,Total active cycles for level _2_3
ramulator.active_cycles_2_3_0,7231934,Total active cycles for level _2_3_0
ramulator.active_cycles_2_3_1,1067876,Total active cycles for level _2_3_1
ramulator.active_cycles_3,11379454,Total active cycles for level _3
ramulator.active_cycles_30,32947614,Total active cycles for level _30
ramulator.active_cycles_30_0,8077556,Total active cycles for level _30_0
ramulator.active_cycles_30_0_0,5219661,Total active cycles for level _30_0_0
ramulator.active_cycles_30_0_1,2875300,Total active cycles for level _30_0_1
ramulator.active_cycles_30_1,3396975,Total active cycles for level _30_1
ramulator.active_cycles_30_1_0,2245266,Total active cycles for level _30_1_0
ramulator.active_cycles_30_1_1,1169324,Total active cycles for level _30_1_1
ramulator.active_cycles_30_2,9822382,Total active cycles for level _30_2
ramulator.active_cycles_30_2_0,5094585,Total active cycles for level _30_2_0
ramulator.active_cycles_30_2_1,4746149,Total active cycles for level _30_2_1
ramulator.active_cycles_30_3,11925284,Total active cycles for level _30_3
ramulator.active_cycles_30_3_0,4877268,Total active cycles for level _30_3_0
ramulator.active_cycles_30_3_1,7063191,Total active cycles for level _30_3_1
ramulator.active_cycles_31,27271169,Total active cycles for level _31
ramulator.active_cycles_31_0,8737791,Total active cycles for level _31_0
ramulator.active_cycles_31_0_0,5087525,Total active cycles for level _31_0_0
ramulator.active_cycles_31_0_1,3655786,Total active cycles for level _31_0_1
ramulator.active_cycles_31_1,6501945,Total active cycles for level _31_1
ramulator.active_cycles_31_1_0,3592989,Total active cycles for level _31_1_0
ramulator.active_cycles_31_1_1,2913459,Total active cycles for level _31_1_1
ramulator.active_cycles_31_2,6475758,Total active cycles for level _31_2
ramulator.active_cycles_31_2_0,2867694,Total active cycles for level _31_2_0
ramulator.active_cycles_31_2_1,3619656,Total active cycles for level _31_2_1
ramulator.active_cycles_31_3,6048493,Total active cycles for level _31_3
ramulator.active_cycles_31_3_0,2096575,Total active cycles for level _31_3_0
ramulator.active_cycles_31_3_1,3957232,Total active cycles for level _31_3_1
ramulator.active_cycles_3_0,3285739,Total active cycles for level _3_0
ramulator.active_cycles_3_0_0,1533245,Total active cycles for level _3_0_0
ramulator.active_cycles_3_0_1,1763503,Total active cycles for level _3_0_1
ramulator.active_cycles_3_1,2941449,Total active cycles for level _3_1
ramulator.active_cycles_3_1_0,1289484,Total active cycles for level _3_1_0
ramulator.active_cycles_3_1_1,1663428,Total active cycles for level _3_1_1
ramulator.active_cycles_3_2,2918149,Total active cycles for level _3_2
ramulator.active_cycles_3_2_0,1620981,Total active cycles for level _3_2_0
ramulator.active_cycles_3_2_1,1306241,Total active cycles for level _3_2_1
ramulator.active_cycles_3_3,2719069,Total active cycles for level _3_3
ramulator.active_cycles_3_3_0,1670383,Total active cycles for level _3_3_0
ramulator.active_cycles_3_3_1,1057775,Total active cycles for level _3_3_1
ramulator.active_cycles_4,19786917,Total active cycles for level _4
ramulator.active_cycles_4_0,6798772,Total active cycles for level _4_0
ramulator.active_cycles_4_0_0,3201500,Total active cycles for level _4_0_0
ramulator.active_cycles_4_0_1,3607781,Total active cycles for level _4_0_1
ramulator.active_cycles_4_1,2344276,Total active cycles for level _4_1
ramulator.active_cycles_4_1_0,1141227,Total active cycles for level _4_1_0
ramulator.active_cycles_4_1_1,1213620,Total active cycles for level _4_1_1
ramulator.active_cycles_4_2,8956320,Total active cycles for level _4_2
ramulator.active_cycles_4_2_0,5847809,Total active cycles for level _4_2_0
ramulator.active_cycles_4_2_1,3116341,Total active cycles for level _4_2_1
ramulator.active_cycles_4_3,2179315,Total active cycles for level _4_3
ramulator.active_cycles_4_3_0,1131003,Total active cycles for level _4_3_0
ramulator.active_cycles_4_3_1,1059216,Total active cycles for level _4_3_1
ramulator.active_cycles_5,8801776,Total active cycles for level _5
ramulator.active_cycles_5_0,2383500,Total active cycles for level _5_0
ramulator.active_cycles_5_0_0,1196882,Total active cycles for level _5_0_0
ramulator.active_cycles_5_0_1,1198871,Total active cycles for level _5_0_1
ramulator.active_cycles_5_1,2330245,Total active cycles for level _5_1
ramulator.active_cycles_5_1_0,1199368,Total active cycles for level _5_1_0
ramulator.active_cycles_5_1_1,1143131,Total active cycles for level _5_1_1
ramulator.active_cycles_5_2,2390387,Total active cycles for level _5_2
ramulator.active_cycles_5_2_0,1215646,Total active cycles for level _5_2_0
ramulator.active_cycles_5_2_1,1184335,Total active cycles for level _5_2_1
ramulator.active_cycles_5_3,2186248,Total active cycles for level _5_3
ramulator.active_cycles_5_3_0,1139208,Total active cycles for level _5_3_0
ramulator.active_cycles_5_3_1,1060518,Total active cycles for level _5_3_1
ramulator.active_cycles_6,15072285,Total active cycles for level _6
ramulator.active_cycles_6_0,4542911,Total active cycles for level _6_0
ramulator.active_cycles_6_0_0,3354875,Total active cycles for level _6_0_0
ramulator.active_cycles_6_0_1,1198886,Total active cycles for level _6_0_1
ramulator.active_cycles_6_1,4442395,Total active cycles for level _6_1
ramulator.active_cycles_6_1_0,3202641,Total active cycles for level _6_1_0
ramulator.active_cycles_6_1_1,1251294,Total active cycles for level _6_1_1
ramulator.active_cycles_6_2,4418201,Total active cycles for level _6_2
ramulator.active_cycles_6_2_0,3198429,Total active cycles for level _6_2_0
ramulator.active_cycles_6_2_1,1227804,Total active cycles for level _6_2_1
ramulator.active_cycles_6_3,2166485,Total active cycles for level _6_3
ramulator.active_cycles_6_3_0,1132104,Total active cycles for level _6_3_0
ramulator.active_cycles_6_3_1,1047934,Total active cycles for level _6_3_1
ramulator.active_cycles_7,33145698,Total active cycles for level _7
ramulator.active_cycles_7_0,13613207,Total active cycles for level _7_0
ramulator.active_cycles_7_0_0,12209452,Total active cycles for level _7_0_0
ramulator.active_cycles_7_0_1,1414718,Total active cycles for level _7_0_1
ramulator.active_cycles_7_1,7423281,Total active cycles for level _7_1
ramulator.active_cycles_7_1_0,6296196,Total active cycles for level _7_1_0
ramulator.active_cycles_7_1_1,1137646,Total active cycles for level _7_1_1
ramulator.active_cycles_7_2,5926170,Total active cycles for level _7_2
ramulator.active_cycles_7_2_0,4810359,Total active cycles for level _7_2_0
ramulator.active_cycles_7_2_1,1124002,Total active cycles for level _7_2_1
ramulator.active_cycles_7_3,6668562,Total active cycles for level _7_3
ramulator.active_cycles_7_3_0,5625538,Total active cycles for level _7_3_0
ramulator.active_cycles_7_3_1,1057125,Total active cycles for level _7_3_1
ramulator.active_cycles_8,32734012,Total active cycles for level _8
