Metric,Value,Description
ramulator.active_cycles_22_0_1,8402254,Total active cycles for level _22_0_1
ramulator.active_cycles_22_1,4395489,Total active cycles for level _22_1
ramulator.active_cycles_22_1_0,1188630,Total active cycles for level _22_1_0
ramulator.active_cycles_22_1_1,3218523,Total active cycles for level _22_1_1
ramulator.active_cycles_22_2,5194034,Total active cycles for level _22_2
ramulator.active_cycles_22_2_0,3592125,Total active cycles for level _22_2_0
ramulator.active_cycles_22_2_1,1611590,Total active cycles for level _22_2_1
ramulator.active_cycles_22_3,10179475,Total active cycles for level _22_3
ramulator.active_cycles_22_3_0,1506615,Total active cycles for level _22_3_0
ramulator.active_cycles_22_3_1,8684548,Total active cycles for level _22_3_1
ramulator.active_cycles_23,26335200,Total active cycles for level _23
ramulator.active_cycles_23_0,11098622,Total active cycles for level _23_0
ramulator.active_cycles_23_0_0,8804516,Total active cycles for level _23_0_0
ramulator.active_cycles_23_0_1,2305321,Total active cycles for level _23_0_1
ramulator.active_cycles_23_1,5623995,Total active cycles for level _23_1
ramulator.active_cycles_23_1_0,4428398,Total active cycles for level _23_1_0
ramulator.active_cycles_23_1_1,1205804,Total active cycles for level _23_1_1
ramulator.active_cycles_23_2,7039582,Total active cycles for level _23_2
ramulator.active_cycles_23_2_0,3414608,Total active cycles for level _23_2_0
ramulator.active_cycles_23_2_1,3633719,Total active cycles for level _23_2_1
ramulator.active_cycles_23_3,3069350,Total active cycles for level _23_3
ramulator.active_cycles_23_3_0,1055354,Total active cycles for level _23_3_0
ramulator.active_cycles_23_3_1,2024068,Total active cycles for level _23_3_1
ramulator.active_cycles_24,26067784,Total active cycles for level _24
ramulator.active_cycles_24_0,6204034,Total active cycles for level _24_0
ramulator.active_cycles_24_0_0,3976781,Total active cycles for level _24_0_0
ramulator.active_cycles_24_0_1,2246573,Total active cycles for level _24_0_1
ramulator.active_cycles_24_1,6505939,Total active cycles for level _24_1
ramulator.active_cycles_24_1_0,3237493,Total active cycles for level _24_1_0
ramulator.active_cycles_24_1_1,3287461,Total active cycles for level _24_1_1
ramulator.active_cycles_24_2,6962859,Total active cycles for level _24_2
ramulator.active_cycles_24_2_0,4395634,Total active cycles for level _24_2_0
ramulator.active_cycles_24_2_1,2585960,Total active cycles for level _24_2_1
ramulator.active_cycles_24_3,6680617,Total active cycles for level _24_3
ramulator.active_cycles_24_3_0,3145035,Total active cycles for level _24_3_0
ramulator.active_cycles_24_3_1,3552771,Total active cycles for level _24_3_1
ramulator.active_cycles_25,29594026,Total active cycles for level _25
ramulator.active_cycles_25_0,5141871,Total active cycles for level _25_0
ramulator.active_cycles_25_0_0,3474478,Total active cycles for level _25_0_0
ramulator.active_cycles_25_0_1,1682287,Total active cycles for level _25_0_1
ramulator.active_cycles_25_1,5815773,Total active cycles for level _25_1
ramulator.active_cycles_25_1_0,2841727,Total active cycles for level _25_1_0
ramulator.active_cycles_25_1_1,2989772,Total active cycles for level _25_1_1
ramulator.active_cycles_25_2,8937809,Total active cycles for level _25_2
ramulator.active_cycles_25_2_0,3056714,Total active cycles for level _25_2_0
ramulator.active_cycles_25_2_1,5894107,Total active cycles for level _25_2_1
ramulator.active_cycles_25_3,10143101,Total active cycles for level _25_3
ramulator.active_cycles_25_3_0,6928407,Total active cycles for level _25_3_0
ramulator.active_cycles_25_3_1,3228524,Total active cycles for level _25_3_1
ramulator.active_cycles_26,24056137,Total active cycles for level _26
ramulator.active_cycles_26_0,4728066,Total active cycles for level _26_0
ramulator.active_cycles_26_0_0,2173313,Total active cycles for level _26_0_0
ramulator.active_cycles_26_0_1,2567255,Total active cycles for level _26_0_1
ramulator.active_cycles_26_1,4339675,Total active cycles for level _26_1
ramulator.active_cycles_26_1_0,3211328,Total active cycles for level _26_1_0
ramulator.active_cycles_26_1_1,1141226,Total active cycles for level _26_1_1
ramulator.active_cycles_26_2,6769097,Total active cycles for level _26_2
ramulator.active_cycles_26_2_0,1177959,Total active cycles for level _26_2_0
ramulator.active_cycles_26_2_1,5602005,Total active cycles for level _26_2_1
ramulator.active_cycles_26_3,8720203,Total active cycles for level _26_3
ramulator.active_cycles_26_3_0,4512795,Total active cycles for level _26_3_0
ramulator.active_cycles_26_3_1,4219217,Total active cycles for level _26_3_1
ramulator.active_cycles_27,28391765,Total active cycles for level _27
ramulator.active_cycles_27_0,8011568,Total active cycles for level _27_0
ramulator.active_cycles_27_0_0,1547767,Total active cycles for level _27_0_0
ramulator.active_cycles_27_0_1,6481668,Total active cycles for level _27_0_1
ramulator.active_cycles_27_1,7008584,Total active cycles for level _27_1
ramulator.active_cycles_27_1_0,4186269,Total active cycles for level _27_1_0
ramulator.active_cycles_27_1_1,2839869,Total active cycles for level _27_1_1
ramulator.active_cycles_27_2,4342169,Total active cycles for level _27_2
ramulator.active_cycles_27_2_0,2850012,Total active cycles for level _27_2_0
ramulator.active_cycles_27_2_1,1507767,Total active cycles for level _27_2_1
ramulator.active_cycles_27_3,9439506,Total active cycles for level _27_3
ramulator.active_cycles_27_3_0,3156174,Total active cycles for level _27_3_0
ramulator.active_cycles_27_3_1,6299348,Total active cycles for level _27_3_1
ramulator.active_cycles_28,15186588,Total active cycles for level _28
ramulator.active_cycles_28_0,3452178,Total active cycles for level _28_0
ramulator.active_cycles_28_0_0,1212283,Total active cycles for level _28_0_0
ramulator.active_cycles_28_0_1,2253744,Total active cycles for level _28_0_1
ramulator.active_cycles_28_1,3299457,Total active cycles for level _28_1
ramulator.active_cycles_28_1_0,1147169,Total active cycles for level _28_1_0
ramulator.active_cycles_28_1_1,2165821,Total active cycles for level _28_1_1
ramulator.active_cycles_28_2,3313657,Total active cycles for level _28_2
ramulator.active_cycles_28_2_0,1140751,Total active cycles for level _28_2_0
ramulator.active_cycles_28_2_1,2185135,Total active cycles for level _28_2_1
ramulator.active_cycles_28_3,5612605,Total active cycles for level _28_3
ramulator.active_cycles_28_3_0,3456954,Total active cycles for level _28_3_0
ramulator.active_cycles_28_3_1,2168219,Total active cycles for level _28_3_1
ramulator.active_cycles_29,31110317,Total active cycles for level _29
ramulator.active_cycles_29_0,10741728,Total active cycles for level _29_0
ramulator.active_cycles_29_0_0,3270212,Total active cycles for level _29_0_0
ramulator.active_cycles_29_0_1,7488165,Total active cycles for level _29_0_1
ramulator.active_cycles_29_1,3704310,Total active cycles for level _29_1
ramulator.active_cycles_29_1_0,2373258,Total active cycles for level _29_1_0
ramulator.active_cycles_29_1_1,1347366,Total active cycles for level _29_1_1
ramulator.active_cycles_29_2,6998036,Total active cycles for level _29_2
ramulator.active_cycles_29_2_0,5419823,Total active cycles for level _29_2_0
ramulator.active_cycles_29_2_1,1596115,Total active cycles for level _29_2_1
ramulator.active_cycles_29_3,10040595,Total active cycles for level _29_3
ramulator.active_cycles_29_3_0,7103596,Total active cycles for level _29_3_0
ramulator.active_cycles_29_3_1,2951137,Total active cycles for level _29_3_1
ramulator.active_cycles_2_0,13764208,Total active cycles for level _2_0
ramulator.active_cycles_2_0_0,4665827,Total active cycles for level _2_0_0
ramulator.active_cycles_2_0_1,9109950,Total active cycles for level _2_0_1
ramulator.active_cycles_2_1,4951230,Total active cycles for level _2_1
ramulator.active_cycles_2_1_0,1276968,Total active cycles for level _2_1_0
ramulator.active_cycles_2_1_1,3685632,Total active cycles for level _2_1_1
ramulator.active_cycles_2_2,19856665,Total active cycles for level _2_2
ramulator.active_cycles_2_2_0,14318835,Total active cycles for level _2_2_0
ramulator.active_cycles_2_2_1,5547168,Total active cycles for level _2_2_1
ramulator.active_cycles_2_3,8269833,Total active cycles for level _2_3
ramulator.active_cycles_2_3_0,7223041,Total active cycles for level _2_3_0
ramulator.active_cycles_2_3_1,1060391,Total active cycles for level _2_3_1
ramulator.active_cycles_3,11404787,Total active cycles for level _3
ramulator.active_cycles_30,32949636,Total active cycles for level _30
ramulator.active_cycles_30_0,8102088,Total active cycles for level _30_0
ramulator.active_cycles_30_0_0,5223624,Total active cycles for level _30_0_0
ramulator.active_cycles_30_0_1,2894272,Total active cycles for level _30_0_1
ramulator.active_cycles_30_1,3412767,Total active cycles for level _30_1
ramulator.active_cycles_30_1_0,2245090,Total active cycles for level _30_1_0
ramulator.active_cycles_30_1_1,1183697,Total active cycles for level _30_1_1
ramulator.active_cycles_30_2,9839326,Total active cycles for level _30_2
ramulator.active_cycles_30_2_0,5109534,Total active cycles for level _30_2_0
ramulator.active_cycles_30_2_1,4747081,Total active cycles for level _30_2_1
ramulator.active_cycles_30_3,11944244,Total active cycles for level _30_3
ramulator.active_cycles_30_3_0,4887138,Total active cycles for level _30_3_0
ramulator.active_cycles_30_3_1,7071212,Total active cycles for level _30_3_1
ramulator.active_cycles_31,27293615,Total active cycles for level _31
ramulator.active_cycles_31_0,8742133,Total active cycles for level _31_0
ramulator.active_cycles_31_0_0,5088208,Total active cycles for level _31_0_0
ramulator.active_cycles_31_0_1,3659354,Total active cycles for level _31_0_1
ramulator.active_cycles_31_1,6504699,Total active cycles for level _31_1
ramulator.active_cycles_31_1_0,3593635,Total active cycles for level _31_1_0
ramulator.active_cycles_31_1_1,2915516,Total active cycles for level _31_1_1
ramulator.active_cycles_31_2,6482355,Total active cycles for level _31_2
ramulator.active_cycles_31_2_0,2878119,Total active cycles for level _31_2_0
ramulator.active_cycles_31_2_1,3615864,Total active cycles for level _31_2_1
ramulator.active_cycles_31_3,6057082,Total active cycles for level _31_3
ramulator.active_cycles_31_3_0,2104869,Total active cycles for level _31_3_0
ramulator.active_cycles_31_3_1,3957351,Total active cycles for level _31_3_1
ramulator.active_cycles_3_0,3294679,Total active cycles for level _3_0
ramulator.active_cycles_3_0_0,1538317,Total active cycles for level _3_0_0
ramulator.active_cycles_3_0_1,1767467,Total active cycles for level _3_0_1
ramulator.active_cycles_3_1,2950741,Total active cycles for level _3_1
ramulator.active_cycles_3_1_0,1296266,Total active cycles for level _3_1_0
ramulator.active_cycles_3_1_1,1666233,Total active cycles for level _3_1_1
ramulator.active_cycles_3_2,2925369,Total active cycles for level _3_2
ramulator.active_cycles_3_2_0,1623855,Total active cycles for level _3_2_0
ramulator.active_cycles_3_2_1,1310927,Total active cycles for level _3_2_1
ramulator.active_cycles_3_3,2719973,Total active cycles for level _3_3
ramulator.active_cycles_3_3_0,1669567,Total active cycles for level _3_3_0
ramulator.active_cycles_3_3_1,1059594,Total active cycles for level _3_3_1
ramulator.active_cycles_4,19786869,Total active cycles for level _4
ramulator.active_cycles_4_0,6797317,Total active cycles for level _4_0
